created_at,from_user,from_user_id,from_user_name,geo,text,to_user,metadata,_id,id
"Mon, 19 Nov 2012 07:04:44 +0000","samChamptha",344949114,"Sami Seiffert",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000013" },270422340209344513
"Mon, 19 Nov 2012 07:04:38 +0000","Aerobiology",397845539,"Jerσeɳ. ",null,"RT @YourFavWhiteGuy: .@Common (Denominator) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000014" },270422315349721088
"Mon, 19 Nov 2012 07:04:30 +0000","jo",346,"joanne",null,"Handsome E-R Modeling School #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000015" },270422279744266241
"Mon, 19 Nov 2012 07:04:27 +0000","Aerobiology",397845539,"Jerσeɳ. ",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000016" },270422265781432320
"Mon, 19 Nov 2012 07:04:02 +0000","codemastermm",15375238,"Andrew Kane",null,"RT @haley: J-Unit #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000017" },270422164547710976
"Mon, 19 Nov 2012 07:04:02 +0000","Aerobiology",397845539,"Jerσeɳ. ",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000018" },270422163696263169
"Mon, 19 Nov 2012 07:03:55 +0000","haley",21937199,"(✖╭╮✖) ",null,"J-Unit #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000019" },270422134436810753
"Mon, 19 Nov 2012 07:03:54 +0000","Aerobiology",397845539,"Jerσeɳ. ",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001a" },270422130049556480
"Mon, 19 Nov 2012 07:03:51 +0000","resmo79",17334877,"René Moser",null,"50 CentOS #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001b" },270422118532018176
"Mon, 19 Nov 2012 07:03:03 +0000","JonnyPatron",33050744,"The Perscription",null,"RT @YourFavWhiteGuy: .@Common (Denominator) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001c" },270421914470731776
"Mon, 19 Nov 2012 07:02:56 +0000","JonnyPatron",33050744,"The Perscription",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001d" },270421885983010816
"Mon, 19 Nov 2012 07:02:55 +0000","jhuuuuff",78798714,"Jessica Huffman",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001e" },270421882216529920
"Mon, 19 Nov 2012 07:02:42 +0000","maddiegab",749759832,"Maddie Ellis",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400001f" },270421825790545920
"Mon, 19 Nov 2012 07:02:37 +0000","ronalddevera",18884627,"Ron DeVera",null,"Missy LLVMiot #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000020" },270421807947993088
"Mon, 19 Nov 2012 07:02:29 +0000","SergeTheMerge",754518228,"Sergio Caro",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000021" },270421774397751296
"Mon, 19 Nov 2012 07:02:12 +0000","RuiDiculous",290372337,"DELTRESE",null,"RT @YourFavWhiteGuy: Bone-Thugs-on-eHarmony #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000022" },270421703237173248
"Mon, 19 Nov 2012 07:02:10 +0000","RuiDiculous",290372337,"DELTRESE",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000023" },270421694764687360
"Mon, 19 Nov 2012 07:02:04 +0000","savoie617",340999332,"Aaron Savoie",null,"RT @YourFavWhiteGuy: Eazy-A #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000024" },270421667778555905
"Mon, 19 Nov 2012 07:01:59 +0000","RuiDiculous",290372337,"DELTRESE",null,"RT @YourFavWhiteGuy: .@Common (Denominator) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000025" },270421645636800512
"Mon, 19 Nov 2012 07:00:47 +0000","iamreddave",25662004,"David Curran",null,"Mc squared #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000026" },270421346679406592
"Mon, 19 Nov 2012 06:59:55 +0000","paulalexgray",25054164,"Paul Alex Gray",null,"RT @CyrisXD: &lt;p&gt;Diddy&lt;/p&gt; #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000027" },270421127535403010
"Mon, 19 Nov 2012 06:59:54 +0000","paulalexgray",25054164,"Paul Alex Gray",null,"RT @tristanwalker: Young MC++ #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000028" },270421123999612928
"Mon, 19 Nov 2012 06:59:54 +0000","edog1203",14305022,"Evan Doll",null,"RT @cocoalabs: @edog1203 @2xPac \n#NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000029" },270421123911528448
"Mon, 19 Nov 2012 06:57:36 +0000","crewzer_MD",72870176,"tyler crews",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002a" },270420543998685184
"Mon, 19 Nov 2012 06:57:30 +0000","FlorisvdG",209078639,"Floris",null,"RT @YourFavWhiteGuy: MacBook Miller #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002b" },270420520804175873
"Mon, 19 Nov 2012 06:57:21 +0000","Grambling_Swag",70833905,"christian villanueva",null,"RT @NotBillWalton: #NerdRapperNames The Notorious M.I.T.",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002c" },270420481050550272
"Mon, 19 Nov 2012 06:57:12 +0000","e_baker21",268464936,"Emma Baker",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002d" },270420442756550656
"Mon, 19 Nov 2012 06:57:11 +0000","FlorisvdG",209078639,"Floris",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002e" },270420439522738178
"Mon, 19 Nov 2012 06:57:09 +0000","tt",19838687,"Tobias Timpe",{ "type" : "Point", "coordinates" : [ 51.940399, 8.406692 ] },"OS X 10.9 Snoop Lion #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400002f" },270420430551130114
"Mon, 19 Nov 2012 06:56:59 +0000","FlorisvdG",209078639,"Floris",null,"RT @YourFavWhiteGuy: Bone-Thugs-on-eHarmony #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000030" },270420390063517696
"Mon, 19 Nov 2012 06:56:54 +0000","ryanwelborn",104633948,"ryan welborn",null,"#NerdRapperNames\nJoseph Gordon Ludacris",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000031" },270420366424428544
"Mon, 19 Nov 2012 06:56:43 +0000","FlorisvdG",209078639,"Floris",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000032" },270420323038527490
"Mon, 19 Nov 2012 06:56:36 +0000","Kahdar44Reid",378640774,"Kahdar reid",null,"#NerdRapperNames Macleplus",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000033" },270420292558548992
"Mon, 19 Nov 2012 06:56:30 +0000","tt",19838687,"Tobias Timpe",{ "type" : "Point", "coordinates" : [ 51.940399, 8.406692 ] },"iCe Cube #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000034" },270420266788745217
"Mon, 19 Nov 2012 06:56:26 +0000","ameliamango",18517825,"Amelia Mango",null,"RT @edog1203: Objective-C Lo Green #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000035" },270420251018149888
"Mon, 19 Nov 2012 06:56:26 +0000","FlorisvdG",209078639,"Floris",null,"RT @YourFavWhiteGuy: Eazy-A #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000036" },270420248300224512
"Mon, 19 Nov 2012 06:56:00 +0000","ryanwelborn",104633948,"ryan welborn",null,"#NerdRapperNames \nBlaze Pascal",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000037" },270420143153225728
"Mon, 19 Nov 2012 06:55:57 +0000","Bobert_Rutler",458707461,"Robert Butler",null,"RT @YourFavWhiteGuy: DM(x) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000038" },270420128003420160
"Mon, 19 Nov 2012 06:55:52 +0000","ameliamango",18517825,"Amelia Mango",null,"Notorious G.I.T #nerdrappernames cc @turian",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000039" },270420107291934720
"Mon, 19 Nov 2012 06:55:51 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"MC89 Hammer #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003a" },270420103064064000
"Mon, 19 Nov 2012 06:55:24 +0000","Heather_V_Drake",317453328,"Heather Drake",null,"RT @YourFavWhiteGuy: Bone-Thugs-on-eHarmony #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003b" },270419988408569856
"Mon, 19 Nov 2012 06:55:14 +0000","Kahdar44Reid",378640774,"Kahdar reid",null,"RT @SheeeRatchet: #NerdRapperNames Tyler, the calculator.",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003c" },270419947946123264
"Mon, 19 Nov 2012 06:55:14 +0000","haley",21937199,"(✖╭╮✖) ",null,"RT @Loh: IntelliJay-Z #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003d" },270419946746556416
"Mon, 19 Nov 2012 06:54:57 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"Ice CubeRoot #NerdRapperNames #LowHangingFruit",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003e" },270419876441645056
"Mon, 19 Nov 2012 06:54:42 +0000","ameliamango",18517825,"Amelia Mango",null,"MC++ Hammer? #nerdrappernames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400003f" },270419813329948672
"Mon, 19 Nov 2012 06:54:03 +0000","haley",21937199,"(✖╭╮✖) ",null,"RT @hunterwalk: Cache Money #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000040" },270419651656286209
"Mon, 19 Nov 2012 06:53:58 +0000","tweeder_27",273194491,"Shawn Thompson",null,"RT @YourFavWhiteGuy: Bone-Thugs-on-eHarmony #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000041" },270419628793147392
"Mon, 19 Nov 2012 06:53:55 +0000","tweeder_27",273194491,"Shawn Thompson",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000042" },270419618286411776
"Mon, 19 Nov 2012 06:53:44 +0000","Kahdar44Reid",378640774,"Kahdar reid",null,"#NerdRapperNames LL Cool A",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000043" },270419572753068032
"Mon, 19 Nov 2012 06:53:24 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"RT @ronalddevera: method_missing Man #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000044" },270419487260553218
"Mon, 19 Nov 2012 06:53:20 +0000","JulesMaltz",14426272,"Jules Maltz",{ "type" : "Point", "coordinates" : [ 37.787617, -122.444435 ] },"public class Enemy { \n\n        #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000045" },270419468344229888
"Mon, 19 Nov 2012 06:52:58 +0000","Loh",69123976,"Elliot Loh",null,"The Gamify #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000046" },270419378590347264
"Mon, 19 Nov 2012 06:52:48 +0000","Kahdar44Reid",378640774,"Kahdar reid",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000047" },270419335120556032
"Mon, 19 Nov 2012 06:52:16 +0000","CammyD4",26025170,"Cam Davidson",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000048" },270419200680534016
"Mon, 19 Nov 2012 06:52:16 +0000","Kahdar44Reid",378640774,"Kahdar reid",null,"#NerdRapperNames MC Scholar",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000049" },270419200378544128
"Mon, 19 Nov 2012 06:52:09 +0000","ronalddevera",18884627,"Ron DeVera",null,"method_missing Man #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004a" },270419171416895488
"Mon, 19 Nov 2012 06:51:39 +0000","javorsk567",271674923,"Tom Javorski",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004b" },270419046221103104
"Mon, 19 Nov 2012 06:51:33 +0000","javorsk567",271674923,"Tom Javorski",null,"RT @YourFavWhiteGuy: MacBook Miller #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004c" },270419021843816448
"Mon, 19 Nov 2012 06:51:18 +0000","dejaentendu1993",370536035,"Jackson Eckstein",null,"RT @bugbucket: #NerdRapperNames MC Did You Know Pac-Man Was Originally Named Puck-Man But Was Renamed Due To Fear That The P Would Be Vandalized Into",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004d" },270418959692619776
"Mon, 19 Nov 2012 06:51:11 +0000","SuziTrick",348715629,"Suzi Trick",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004e" },270418929237774336
"Mon, 19 Nov 2012 06:51:10 +0000","ryanbatty",14626222,"Ryan Batty",null,".@qhardy N.W.AOL #NerdRapperNames","qhardy",{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400004f" },270418924435304448
"Mon, 19 Nov 2012 06:51:10 +0000","eak4",18068420,"Anthony Krumeich",{ "type" : "Point", "coordinates" : [ 37.778009, -122.40102 ] },".@Loh methodMan(); #NerdRapperNames","Loh",{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000050" },270418923109888000
"Mon, 19 Nov 2012 06:51:08 +0000","Robbiefosho",859196311,"Robert Albarez ",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000051" },270418917841833984
"Mon, 19 Nov 2012 06:51:05 +0000","Robbiefosho",859196311,"Robert Albarez ",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000052" },270418902457131008
"Mon, 19 Nov 2012 06:51:04 +0000","Robbiefosho",859196311,"Robert Albarez ",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000053" },270418897885351936
"Mon, 19 Nov 2012 06:51:04 +0000","SuziTrick",348715629,"Suzi Trick",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000054" },270418897696591872
"Mon, 19 Nov 2012 06:50:31 +0000","Loh",69123976,"Elliot Loh",null,"I thought more people would get N.W.A.W.S. #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000055" },270418760924528641
"Mon, 19 Nov 2012 06:50:06 +0000","jhwilliamson23",254881814,"Joshua",null,"RT @YourFavWhiteGuy: A Dell #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000056" },270418657761447936
"Mon, 19 Nov 2012 06:50:06 +0000","YungBoyLV",140539928,"YungBoy",null,"RT @YourFavWhiteGuy: Kanye Western Hemisphere #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000057" },270418657170034688
"Mon, 19 Nov 2012 06:50:04 +0000","YungBoyLV",140539928,"YungBoy",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000058" },270418646793347072
"Mon, 19 Nov 2012 06:50:00 +0000","joshuago",53150436,"Joshua Go",null,"LLVM Cool J #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000059" },270418633317052416
"Mon, 19 Nov 2012 06:49:30 +0000","supershabam",37344436,"Ian Hansen",null,"Big-Jacki-Oh(N) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005a" },270418504463818753
"Mon, 19 Nov 2012 06:49:16 +0000","jo",346,"joanne",null,"Trunkdoobiest #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005b" },270418445554810880
"Mon, 19 Nov 2012 06:49:01 +0000","dogtrackmoney",603230123,"Count Von Fuck",null,"#NerdRapperNames Easy E =MC^2",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005c" },270418384087302144
"Mon, 19 Nov 2012 06:48:51 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"emNANDem #NerdRapperNames #Detroit",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005d" },270418343155085312
"Mon, 19 Nov 2012 06:48:50 +0000","lancesmith",7070932,"Lance Smith",null,"RT @jo: MC Yammer #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005e" },270418339015307266
"Mon, 19 Nov 2012 06:48:28 +0000","bigthingist",34876390,"Mahmud X Other",null,"RT @hunterwalk: Ja Rule-Based System #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400005f" },270418245994020864
"Mon, 19 Nov 2012 06:47:53 +0000","jo",346,"joanne",null,"SCSI Rascal #NerdRapperNames #oldskool",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000060" },270418099117907968
"Mon, 19 Nov 2012 06:47:30 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"RT @CyrisXD: &lt;p&gt;Diddy&lt;/p&gt; #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000061" },270418003059957761
"Mon, 19 Nov 2012 06:47:24 +0000","T_RoLLAnOther_1",471553761,"T-Rance Givens",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000062" },270417978225471489
"Mon, 19 Nov 2012 06:47:18 +0000","w0rdem",52610093,"emily barton",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000063" },270417950555635712
"Mon, 19 Nov 2012 06:47:12 +0000","jo",346,"joanne",null,"Planet Asia #NerdRapperNames #whoops",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000064" },270417925150748672
"Mon, 19 Nov 2012 06:46:51 +0000","supershabam",37344436,"Ian Hansen",null,"(Ice)^3 #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000065" },270417837166845952
"Mon, 19 Nov 2012 06:46:33 +0000","MichaelTGreen",324664868,"Michael Todd Green",null,"Johnny Hates Gym   #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000066" },270417763682623488
"Mon, 19 Nov 2012 06:46:32 +0000","bigthingist",34876390,"Mahmud X Other",null,"RT @PolarBearFarm: The Notorious GDB #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000067" },270417758599131137
"Mon, 19 Nov 2012 06:46:29 +0000","vodca333",181852193,"malkomsh feeh",null,"RT @YourFavWhiteGuy: A Dell #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000068" },270417744766320641
"Mon, 19 Nov 2012 06:46:22 +0000","DannyDavis12",132266131,"Danny Davis",null,"Lighter Shade of Brown Manganese #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb4000069" },270417718266703872
"Mon, 19 Nov 2012 06:46:19 +0000","mallyvai",33788564,"Vaibhav Mallya",null,"Jay-ZBuffer #NerdRapperNames //CC: @ID_AA_Carmack",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae3fcb05d7eb400006a" },270417705344065536
